 num_orders | num_customers 
------------+---------------
          0 |         50029
          1 |           164
          2 |           658
          3 |          1725
          4 |          3357
          5 |          5115
          6 |          6773
          7 |          7594
          8 |          7716
          9 |          7166
         10 |          6768
         11 |          6224
         12 |          5750
         13 |          5841
         14 |          5635
         15 |          5359
         16 |          5050
         17 |          4530
         18 |          3836
         19 |          3080
         20 |          2397
         21 |          1781
         22 |          1278
         23 |           849
         24 |           544
         25 |           345
         26 |           212
         27 |           108
         28 |            54
         29 |            32
         30 |            13
         31 |            10
         32 |             1
         33 |             4
         35 |             2
(35 rows)

