 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   9989.02 | Supplier#000002892        | JAPAN                     |     10390 | Manufacturer#2            | g  RYnxGX5D 192b2QWfOL9 DII              | 22-714-719-2067 | . regular requests across the pend
   9903.47 | Supplier#000002334        | VIETNAM                   |     72333 | Manufacturer#5            | TRASs4 HRa7BJLxXRms327M                  | 31-806-679-3391 | nts doze blithely ironic deposits. bold deposits boost. care
   9813.29 | Supplier#000005940        | VIETNAM                   |    183421 | Manufacturer#3            | h2 ,wLZdgkwlo7KSzQ7WxRr27gv7             | 31-327-330-2818 | alongside of the blithely thin foxes
   9806.44 | Supplier#000008279        | INDIA                     |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
   9797.52 | Supplier#000000853        | INDIA                     |     30852 | Manufacturer#4            | hQuhL6zQSZmVifUzpnKvRLNEfJhShDomdbGC     | 18-286-624-2526 | iously. bold accounts cajo
   9746.01 | Supplier#000000883        | CHINA                     |    103352 | Manufacturer#2            | 5ppzWDz6xcMOO09LkrAOvHzFEMfP3CIpndr      | 28-614-756-7513 | hely final excuses sleep quickly. slyly pending instructions hang
   9744.22 | Supplier#000002417        | INDONESIA                 |     69910 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9744.22 | Supplier#000002417        | INDONESIA                 |     37410 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
   9659.88 | Supplier#000006851        | INDIA                     |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
   9658.99 | Supplier#000000143        | JAPAN                     |    152597 | Manufacturer#5            | a3v,6RZMN9p FzRTdV,fm7ehoVgEhifejGnrNY4H | 22-916-300-5765 | s lose slyly about the blithely unusual asymptotes. blithely silent instructions cou
   9636.13 | Supplier#000005572        | VIETNAM                   |    135571 | Manufacturer#5            | o0VYozeSbEyqck                           | 31-829-399-4904 |  unusual accounts wake along the carefully express requests. c
   9634.26 | Supplier#000004927        | INDONESIA                 |    197369 | Manufacturer#5            | h5WAYrJzZMHnOnz5EgO,EvjnJPzp0FhX         | 19-636-113-7546 | refully. express deposits detect around the blithely ironic dependencies. r
   9629.88 | Supplier#000003038        | VIETNAM                   |     55522 | Manufacturer#4            | F5Tz7P juuCbABDuW8JGomRFxqVHBWyQrsLwg4i  | 31-160-454-6537 | odolites. bold, even packages across the blithely ironic deposits sleep
   9576.53 | Supplier#000008400        | CHINA                     |    123375 | Manufacturer#3            | y0rF4,BBqwBE6hFAdkEMOeSVoVydZ            | 28-215-743-8600 | ecial instructions. regular, pending deposits boost stealthily after the requests. bold
   9561.30 | Supplier#000006000        | VIETNAM                   |    188445 | Manufacturer#1            | iyk7ceSNxmt                              | 31-542-384-1537 | gside of the regular, ruthless waters. blithe dependencies cajole blithely across the carefully pen
   9555.51 | Supplier#000007552        | JAPAN                     |    105041 | Manufacturer#3            | yV1BjDrL0DSLzJuhSNMkpQ                   | 22-747-741-3776 | its haggle along the requests. express, unusual foxes along the instructions was alongside of th
   9547.00 | Supplier#000000414        | VIETNAM                   |    120413 | Manufacturer#3            | FkmlHgU9pqCboQ32Lcx                      | 31-118-322-1371 | . blithely unusual packages might cajole blithely regular requests.
   9539.80 | Supplier#000003217        | INDIA                     |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
