          s_name           |                s_address                 |          nation           | o_orderkey 
---------------------------+------------------------------------------+---------------------------+------------
 Supplier#000004340        | eKNZibEcZCqmfFZ7                         | ETHIOPIA                  |    5673282
 Supplier#000001450        | nUHaPsG8kBoh6                            | ETHIOPIA                  |    2790341
 Supplier#000008411        | vtb0jArF1kmSJI0hI3JEF                    | ETHIOPIA                  |     613319
 Supplier#000001975        | nBmdXXmMEmKhYwO2PWWjQur                  | ETHIOPIA                  |    5140001
 Supplier#000003839        | PxJGn,bL7sv0o,SaU Uzt                    | ETHIOPIA                  |    2580353
 Supplier#000001593        | nyrNd0vqtRsA2mB8 N0B WGupWrAy9WK3l       | ETHIOPIA                  |    4801124
 Supplier#000008835        | RM5tOTZxosLn34JtphhF6yN                  | ETHIOPIA                  |    3874400
 Supplier#000004040        | FvCZTd0FQ3cnnE,BfaR7Yg3Xvq1oYi9Ol        | ETHIOPIA                  |    4285856
 Supplier#000003733        | 4GFmXZviw 5                              | ETHIOPIA                  |     733088
 Supplier#000004531        | rA16jlU8ajPt5BbTjk                       | ETHIOPIA                  |    1789347
 Supplier#000008142        | jChB0xH r3zey1Z,                         | ETHIOPIA                  |    2360518
 Supplier#000006322        | 3hJBOqhZ,YsWaVFOaZbi6U3O5gv43 q          | ETHIOPIA                  |     894020
 Supplier#000001538        | pB38h5flEq7qC7sFqTYjhMuFvJxoRc6eY        | ETHIOPIA                  |    4471685
 Supplier#000002217        | OKKxE,bL1tm2olSlad                       | ETHIOPIA                  |    4553732
 Supplier#000008466        | pGUWUwyKCxT,9Qb6                         | ETHIOPIA                  |    5333120
 Supplier#000006476        | t9x1qudRC4                               | ETHIOPIA                  |      81574
 Supplier#000003221        | GihgWugZHILgmhYn 6Im0XNnuIr              | ETHIOPIA                  |    4744928
 Supplier#000002592        | 2  ZDHmKO7y9Io 57xTjfk6                  | ETHIOPIA                  |    3606530
 Supplier#000006826        | jKW6CeLZMdd2Am0mxznE,E8MDrH6o,cAW5jTivxV | ETHIOPIA                  |    3969511
 Supplier#000003004        | O4nA6,ODeYqsE,ekbxsHM5vc                 | ETHIOPIA                  |      71779
 Supplier#000007738        | vq4STgP6D50u1mC8sFr                      | ETHIOPIA                  |    4122658
 Supplier#000003524        | vHmrFEkW Qj2CmPHObAtd                    | ETHIOPIA                  |    5232320
 Supplier#000002878        | jGbfUqUk32LrI                            | ETHIOPIA                  |    5951622
 Supplier#000000447        | UHeJiRfImFw1r4MTrBk0vcwUx9               | ETHIOPIA                  |    4505344
 Supplier#000007286        | gLuNuDQfFqub8AcO9V6FS,vhXTXVE            | ETHIOPIA                  |    4272070
 Supplier#000005473        | 0kypwT7K1ixxUY5LBcd2v8iEnO               | ETHIOPIA                  |    5599936
 Supplier#000002084        | ,zeVVYFb6hYoWyJ4kjqm8hT5lzLlW            | ETHIOPIA                  |    5250146
 Supplier#000007469        | KKE9Mc1RMtPHJwcLuR7Ces4PZOqcVr           | ETHIOPIA                  |    2089761
 Supplier#000003939        | NFxpr5yBocaAYJg84CIsv8GIdKt              | ETHIOPIA                  |    4823204
