 c_count | custdist 
---------+----------
      41 |        2
      40 |        3
      39 |        3
      38 |        2
      37 |        7
      36 |       17
      35 |       35
      34 |       50
      33 |       78
      32 |      142
      31 |      215
      30 |      387
      29 |      596
      28 |      855
      27 |     1188
      26 |     1654
      25 |     2097
      24 |     2672
      23 |     3161
      22 |     3730
      21 |     4139
      20 |     4567
      19 |     4796
      18 |     4490
      17 |     4519
      16 |     4410
      15 |     4451
      14 |     4477
      13 |     4986
      12 |     5648
      11 |     6062
      10 |     6565
       9 |     6606
       8 |     5925
       7 |     4644
       6 |     3303
       5 |     1942
       4 |     1027
       3 |      393
       2 |      134
       1 |       18
       0 |    50004
(42 rows)

