          nation           | year |    profit     
---------------------------+------+---------------
 ALGERIA                   | 1995 | 22023105.8555
 ALGERIA                   | 1994 | 47574061.8350
 ALGERIA                   | 1993 | 48535759.0996
 ALGERIA                   | 1992 | 42437402.6087
 ARGENTINA                 | 1995 | 23559642.5811
 ARGENTINA                 | 1994 | 51447309.5719
 ARGENTINA                 | 1993 | 51155506.3864
 ARGENTINA                 | 1992 | 39622961.4388
 BRAZIL                    | 1995 | 22040384.5595
 BRAZIL                    | 1994 | 45935700.0345
 BRAZIL                    | 1993 | 50305545.8942
 BRAZIL                    | 1992 | 37993229.4654
 CANADA                    | 1995 | 23133110.2142
 CANADA                    | 1994 | 49541938.4976
 CANADA                    | 1993 | 50981339.2842
 CANADA                    | 1992 | 43356923.7590
 CHINA                     | 1995 | 20882301.5750
 CHINA                     | 1994 | 47914118.1569
 CHINA                     | 1993 | 45528379.2723
 CHINA                     | 1992 | 39838354.8766
 EGYPT                     | 1995 | 23295708.0196
 EGYPT                     | 1994 | 52784622.0988
 EGYPT                     | 1993 | 52352870.2053
 EGYPT                     | 1992 | 41619733.1134
 ETHIOPIA                  | 1995 | 22579452.2066
 ETHIOPIA                  | 1994 | 44127253.9822
 ETHIOPIA                  | 1993 | 46401359.5431
 ETHIOPIA                  | 1992 | 39440570.9054
 FRANCE                    | 1995 | 21431272.5045
 FRANCE                    | 1994 | 46328664.2508
 FRANCE                    | 1993 | 45430934.4714
 FRANCE                    | 1992 | 39697833.1534
 GERMANY                   | 1995 | 20820356.9133
 GERMANY                   | 1994 | 44872258.7957
 GERMANY                   | 1993 | 46854199.0342
 GERMANY                   | 1992 | 38968367.5047
 INDIA                     | 1995 | 22432344.7810
 INDIA                     | 1994 | 48068642.7866
 INDIA                     | 1993 | 46929812.1362
 INDIA                     | 1992 | 38593567.7495
 INDONESIA                 | 1995 | 24761501.0171
 INDONESIA                 | 1994 | 50988251.3152
 INDONESIA                 | 1993 | 49751555.7196
 INDONESIA                 | 1992 | 41489223.2435
 IRAN                      | 1995 | 20926597.6950
 IRAN                      | 1994 | 49602211.6277
 IRAN                      | 1993 | 50015200.9677
 IRAN                      | 1992 | 40588232.4298
 IRAQ                      | 1995 | 22065715.1702
 IRAQ                      | 1994 | 50662862.5275
 IRAQ                      | 1993 | 48751986.6941
 IRAQ                      | 1992 | 39742888.9322
 JAPAN                     | 1995 | 18915100.8082
 JAPAN                     | 1994 | 45912164.2617
 JAPAN                     | 1993 | 42690351.1660
 JAPAN                     | 1992 | 37183164.9692
 JORDAN                    | 1995 | 18557262.3233
 JORDAN                    | 1994 | 44010512.3138
 JORDAN                    | 1993 | 43859270.7522
 JORDAN                    | 1992 | 36718291.5905
 KENYA                     | 1995 | 21671716.3221
 KENYA                     | 1994 | 44224777.0344
 KENYA                     | 1993 | 40607221.3832
 KENYA                     | 1992 | 36695119.5818
 MOROCCO                   | 1995 | 21833958.7214
 MOROCCO                   | 1994 | 44166399.4958
 MOROCCO                   | 1993 | 45865685.3043
 MOROCCO                   | 1992 | 37430110.1703
 MOZAMBIQUE                | 1995 | 22513238.6404
 MOZAMBIQUE                | 1994 | 45438875.9006
 MOZAMBIQUE                | 1993 | 47752028.9431
 MOZAMBIQUE                | 1992 | 38778151.2470
 PERU                      | 1995 | 22155376.9206
 PERU                      | 1994 | 46548019.4211
 PERU                      | 1993 | 48064259.0210
 PERU                      | 1992 | 40270358.3652
 ROMANIA                   | 1995 | 21743646.9142
 ROMANIA                   | 1994 | 45776050.3153
 ROMANIA                   | 1993 | 46888762.0200
 ROMANIA                   | 1992 | 37868993.4261
 RUSSIA                    | 1995 | 21031962.1708
 RUSSIA                    | 1994 | 47438561.5991
 RUSSIA                    | 1993 | 47538022.8235
 RUSSIA                    | 1992 | 40836990.1978
 SAUDI ARABIA              | 1995 | 22976425.0994
 SAUDI ARABIA              | 1994 | 46208059.6705
 SAUDI ARABIA              | 1993 | 45435059.2087
 SAUDI ARABIA              | 1992 | 38080553.1944
 UNITED KINGDOM            | 1995 | 20946507.2033
 UNITED KINGDOM            | 1994 | 48029258.9138
 UNITED KINGDOM            | 1993 | 44598631.1936
 UNITED KINGDOM            | 1992 | 37954114.9107
 UNITED STATES             | 1995 | 22319379.8976
 UNITED STATES             | 1994 | 44988101.4041
 UNITED STATES             | 1993 | 45211384.0188
 UNITED STATES             | 1992 | 38163407.9647
 VIETNAM                   | 1995 | 22550129.9585
 VIETNAM                   | 1994 | 47677070.3954
 VIETNAM                   | 1993 | 47683346.1311
 VIETNAM                   | 1992 | 43431168.5833
(100 rows)

