 l_partkey |  part_value  
-----------+--------------
    120832 | 1469979.7371
    113776 | 1426428.7923
    138961 | 1381052.3784
    137940 | 1379059.3268
    153976 | 1366068.3115
    184632 | 1358935.8069
    188940 | 1329036.8576
     94664 | 1328254.9280
     78634 | 1285201.6048
    162848 | 1280224.5832
    177841 | 1275222.6872
     15867 | 1249303.4878
     89858 | 1233772.4880
    179630 | 1223684.7688
      9917 | 1221819.1389
     79908 | 1212352.7430
     77810 | 1209524.9774
     52922 | 1209342.1492
    138990 | 1207025.8611
    118827 | 1206741.7414
    198861 | 1197670.4460
      3888 | 1175276.1732
    137970 | 1139784.0111
    165909 | 1137463.4040
     49686 | 1134082.3712
    123966 | 1133341.9188
     35865 | 1113867.9272
    178895 | 1103226.8599
    199917 | 1102604.3588
    141746 | 1098923.7780
     78925 | 1086376.7520
    142943 | 1079735.7186
    195849 | 1074893.6196
    122852 | 1070876.8230
     64816 | 1068432.5757
     81984 | 1062061.7156
     76772 | 1054648.2116
    135949 | 1053526.7544
    108757 | 1050886.1125
    107765 | 1047045.2388
    124746 | 1046312.5586
    150904 | 1045910.5980
    131503 | 1034529.2100
    166915 | 1029622.0641
     33894 | 1027347.2956
    153950 | 1024158.7265
     47589 | 1023162.5246
     75849 | 1019957.8212
    196419 | 1019870.9300
     43632 | 1018944.1647
    144981 | 1018318.3274
    109612 | 1016538.6607
    199905 | 1011632.4420
    130887 | 1009552.8532
     63913 | 1008407.4357
    187589 | 1004623.5018
    155934 | 1001332.7760
      5590 |  999248.5467
    167931 |  999105.1926
    198867 |  996907.2646
    198901 |  996190.1880
     54970 |  990974.5560
     13999 |  990221.0137
    119942 |  989504.4390
     58990 |  987767.6219
     10865 |  986845.4020
     93976 |  986265.4805
    174824 |  983512.8072
    111849 |  982523.5200
    186864 |  982492.1132
     50839 |  980200.3995
     75856 |  976192.8650
      6883 |  975735.1832
     52718 |  967474.7468
    128888 |  966950.9472
     75986 |  965980.8530
     96878 |  963420.6982
    102920 |  960786.9780
    175907 |  958811.4660
     58264 |  956956.2444
       949 |  954828.0316
     95746 |  953097.5454
     65963 |  952713.3440
    139821 |  951809.4300
    128990 |  950823.1506
    160594 |  950363.4042
     19916 |  949716.2430
     91593 |  949074.3346
    136799 |  946276.3134
    186462 |  945613.5528
     34408 |  940901.5840
    174866 |  938988.0680
     24845 |  938776.2312
    183866 |  938448.1194
    182596 |  938247.8805
    110843 |  937023.4280
    126757 |  936647.1250
    179888 |  935195.6124
    128699 |  934991.2742
     18974 |  934180.6950
     69911 |  933458.0148
     74922 |  933322.5784
    151953 |  932622.5420
     88983 |  931721.1104
     43819 |  930675.5395
    191491 |  930076.8477
    125856 |  927864.9610
    123876 |  926908.5756
    146591 |  926597.5497
     89678 |  925223.3160
     99876 |  924222.3903
    177966 |  922500.4668
    192727 |  919195.1636
    148866 |  919017.9084
     24824 |  916836.3732
    188951 |  915407.1630
    133881 |  915236.0448
     94633 |  914695.5074
    110912 |  914266.7886
    190754 |  912339.5600
     76939 |  910622.3697
    164786 |  910620.7756
     21605 |  909899.3980
     62808 |  909819.3320
    142875 |  905349.7122
    152892 |  905035.1126
    181890 |  904860.8832
     10843 |  904472.8264
    136874 |  904319.2275
     86609 |  903013.8640
    173213 |  902392.0739
    134804 |  901821.0720
    166772 |  900004.3642
    196983 |  899216.9536
     92895 |  896709.9922
    181953 |  896415.8245
    182553 |  895463.6250
    186911 |  893924.8713
     76781 |  893374.1072
    138868 |  892200.7254
    125842 |  891520.0320
     96965 |  888061.5744
    190741 |  887221.5864
    118798 |  886430.0089
     71491 |  885391.4460
    156860 |  885148.4422
     48573 |  884001.7386
     41875 |  883325.8566
     13988 |  883298.5318
    126872 |  881303.5444
    106772 |  879744.0666
      8958 |  879482.8060
     27820 |  878419.3756
    167909 |  877229.6060
     55766 |  875928.1824
    144877 |  873547.5711
      1576 |  872534.6364
     38980 |  872118.8406
      5619 |  871650.0292
     71595 |  871102.3695
    109874 |  870649.3592
     53344 |  870035.1242
    143916 |  868769.3057
    187565 |  867577.4744
    126608 |  867449.5280
    108900 |  866678.7780
     97974 |  866168.1028
    160609 |  865336.9840
      1774 |  864982.2009
    181947 |  863760.3368
     20542 |  863366.6128
      4574 |  859418.8125
    118980 |  858362.0120
     85849 |  857255.5964
     18990 |  856659.2625
     52932 |  854005.2351
    178974 |  850011.6988
    199677 |  849834.5611
     66972 |  848745.3381
     13638 |  848353.7025
       739 |  848281.5209
     88960 |  848070.4544
     28245 |  847935.7452
    101851 |  847919.7455
    181836 |  847584.9685
     22977 |  846322.6368
    153793 |  845035.7003
    134860 |  843913.7982
    180565 |  843563.4228
     98958 |  843543.2975
     95730 |  843226.1926
      3365 |  842952.0560
      9905 |  840425.7430
    149818 |  839281.7454
    193654 |  838697.2350
    157571 |  837606.1224
    175976 |  837142.2009
    191586 |  836894.3346
    135644 |  835100.2116
     55855 |  834059.4015
     93622 |  833530.6704
     67706 |  833519.3370
     51561 |  830365.1888
      1983 |  828863.4056
     46883 |  828386.6760
    105580 |  827688.6158
    154620 |  826759.8940
    184707 |  826564.9610
    198862 |  825992.6664
     47918 |  824806.8564
     50953 |  824562.6660
     98967 |  824484.3048
     75576 |  824054.3427
     22727 |  822946.3248
    129238 |  822787.0944
     74804 |  822463.7560
    163948 |  822018.3258
      3881 |  821972.9376
     33821 |  820483.6392
    139938 |  820029.9987
      7904 |  819431.7750
    139382 |  818558.5282
    125364 |  817499.4240
    198948 |  815337.1408
     73987 |  813512.5530
     33792 |  812795.3163
     24894 |  810479.1951
     88970 |  810229.9920
    138597 |  810124.0829
    111224 |  809452.0182
    196906 |  809391.9190
    114964 |  809315.4816
    148958 |  809021.6145
    144715 |  808991.4783
    177879 |  808970.0580
     58368 |  808151.1480
    159673 |  807372.2399
     95465 |  806728.8948
     32578 |  805420.8183
    144649 |  804140.2720
      3239 |  803878.6294
     30845 |  802519.8544
    183623 |  802435.6578
     73821 |  802158.9026
     60767 |  802147.1352
    181458 |  801406.8810
    133964 |  801002.1436
    184845 |  800941.4952
    146577 |  799510.8108
    132147 |  799244.6748
    159890 |  798791.9374
     13929 |  797615.7760
     72875 |  797485.2559
     20747 |  797429.8810
    190619 |  797259.5274
    160500 |  797181.4250
    188820 |  796970.5264
     73939 |  796639.6985
     87880 |  796015.7408
     61787 |  795187.7538
    178425 |  794752.9146
    106446 |  794644.4484
    113958 |  793729.5945
    159828 |  793677.2844
    175849 |  793630.7804
    101953 |  793279.6110
      1381 |  792882.7302
    135751 |  790922.7550
     99827 |  790172.7228
    168989 |  788144.6006
     10709 |  787028.4270
    170827 |  786798.2156
    125849 |  786589.1220
    165868 |  785591.9478
    178731 |  784988.4848
     25792 |  784806.7173
     89905 |  784299.1100
    107979 |  783859.6650
    127891 |  783310.0869
    156611 |  783076.3038
     69220 |  782887.3104
      2824 |  781265.1726
     68987 |  780338.2210
    148988 |  780204.0796
      9975 |  779623.5920
     84875 |  779062.3456
     83804 |  779015.9720
    195581 |  778788.1758
    113735 |  778691.9817
     57942 |  778690.4090
     28575 |  778623.7245
     64970 |  778419.0813
    188985 |  777991.3776
    146774 |  777960.3979
     68098 |  777915.2121
     83979 |  777650.1952
     55751 |  777578.2325
     45946 |  777303.5490
    162270 |  777046.4775
    172906 |  776738.0390
     18927 |  775747.8800
    130994 |  775550.9201
     90712 |  775056.5649
     31729 |  774808.9160
    100596 |  774585.6385
    142523 |  773899.1568
     63939 |  773883.5724
     14683 |  773500.7952
    141890 |  773200.3347
    173929 |  772986.9156
    196601 |  772594.7360
    148867 |  771440.1876
    164824 |  770808.5538
    145494 |  770699.4838
    180814 |  769709.7182
     38340 |  769202.7448
    146978 |  769022.8569
    106351 |  768816.6135
    125590 |  767922.2388
     28644 |  767684.2160
     29812 |  767302.1412
    177563 |  766879.7720
      7607 |  766357.3080
    114748 |  764782.3764
    169653 |  764753.2410
    149776 |  764541.1875
    125514 |  764428.2954
    105847 |  764259.4432
     60619 |  764246.9102
    115669 |  763976.4634
    142270 |  763741.1400
    162557 |  763682.6070
    166554 |  763424.8995
     24682 |  762755.2632
    183987 |  762286.3184
     90447 |  760951.9872
    188665 |  760474.6590
    103564 |  760407.6804
    158827 |  760042.0346
      5865 |  759734.3572
     38910 |  759606.1844
    134286 |  759240.2168
    120865 |  758964.3570
    114618 |  758918.7585
    196915 |  758007.2116
    114631 |  757697.4209
