 order_count | num_customers 
-------------+---------------
           0 |         50004
           1 |            18
           2 |           134
           3 |           393
           4 |          1027
           5 |          1942
           6 |          3303
           7 |          4644
           8 |          5925
           9 |          6606
          10 |          6565
          11 |          6062
          12 |          5648
          13 |          4986
          14 |          4477
          15 |          4451
          16 |          4410
          17 |          4519
          18 |          4490
          19 |          4796
          20 |          4567
          21 |          4139
          22 |          3730
          23 |          3161
          24 |          2672
          25 |          2097
          26 |          1654
          27 |          1188
          28 |           855
          29 |           596
          30 |           387
          31 |           215
          32 |           142
          33 |            78
          34 |            50
          35 |            35
          36 |            17
          37 |             7
          38 |             2
          39 |             3
          40 |             3
          41 |             2
(42 rows)

