          s_name           | s_acctbal |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                              
---------------------------+-----------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+-----------------------------------------------------------------------------------------------------
 Supplier#000002892        |   9989.02 | JAPAN                     |     10390 | Manufacturer#2            | g  RYnxGX5D 192b2QWfOL9 DII              | 22-714-719-2067 | . regular requests across the pend
 Supplier#000002334        |   9903.47 | VIETNAM                   |     72333 | Manufacturer#5            | TRASs4 HRa7BJLxXRms327M                  | 31-806-679-3391 | nts doze blithely ironic deposits. bold deposits boost. care
 Supplier#000005940        |   9813.29 | VIETNAM                   |    183421 | Manufacturer#3            | h2 ,wLZdgkwlo7KSzQ7WxRr27gv7             | 31-327-330-2818 | alongside of the blithely thin foxes
 Supplier#000008279        |   9806.44 | INDIA                     |    118278 | Manufacturer#3            | s8Cpz6OlOq3tpxwYV                        | 18-408-246-8407 |  furiously after the foxes. bold pinto beans sleep ab
 Supplier#000000853        |   9797.52 | INDIA                     |     30852 | Manufacturer#4            | hQuhL6zQSZmVifUzpnKvRLNEfJhShDomdbGC     | 18-286-624-2526 | iously. bold accounts cajo
 Supplier#000005823        |   9785.96 | INDONESIA                 |    183304 | Manufacturer#1            | DKXNhifWIqvODviyPBkNGLHu1EDtX            | 19-711-553-3710 | ly pending accounts are even, ironic requests. quickly ironic dependencies cajole furiousl
 Supplier#000002216        |   9784.19 | JAPAN                     |      9715 | Manufacturer#5            | 8 AciCfJsC6l2PC3ELfiFMCJDSswf            | 22-260-421-5259 | e sometimes special attainments. quickly regular deposits amon
 Supplier#000000883        |   9746.01 | CHINA                     |    103352 | Manufacturer#2            | 5ppzWDz6xcMOO09LkrAOvHzFEMfP3CIpndr      | 28-614-756-7513 | hely final excuses sleep quickly. slyly pending instructions hang
 Supplier#000002417        |   9744.22 | INDONESIA                 |     37410 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
 Supplier#000002417        |   9744.22 | INDONESIA                 |     69910 | Manufacturer#5            | 2zX,k0aiQ he,N  qVT9DMhP0                | 19-580-615-8291 | unts cajole. regular platelets play furiously slyly ironic packages-- furiou
 Supplier#000008582        |   9711.40 | VIETNAM                   |    116070 | Manufacturer#4            | B,Sy8pyruZPcyhEMUf                       | 31-274-355-1342 | ultipliers. carefully final requests lose fluffily? regular asymptotes sleep according to
 Supplier#000006851        |   9659.88 | INDIA                     |     84342 | Manufacturer#2            | MJaGguxWeT3VfMompj8IIUztvoi3,bCJaT       | 18-367-247-2589 | ts integrate carefully pending ideas. regular deposits doubt slyly blithely ironic requests. blit
 Supplier#000000143        |   9658.99 | JAPAN                     |    152597 | Manufacturer#5            | a3v,6RZMN9p FzRTdV,fm7ehoVgEhifejGnrNY4H | 22-916-300-5765 | s lose slyly about the blithely unusual asymptotes. blithely silent instructions cou
