          s_name           |     s_phone     
---------------------------+-----------------
 Supplier#000000002        | 15-679-861-2259
 Supplier#000000063        | 15-781-401-3047
 Supplier#000000078        | 15-670-998-6860
 Supplier#000000132        | 15-776-909-1326
 Supplier#000000150        | 15-169-420-7828
 Supplier#000000156        | 15-106-692-4998
 Supplier#000000193        | 15-872-804-8448
 Supplier#000000224        | 15-446-447-2944
 Supplier#000000231        | 15-551-432-9958
 Supplier#000000298        | 15-790-635-6692
 Supplier#000000339        | 15-967-506-6094
 Supplier#000000360        | 15-671-472-7761
 Supplier#000000372        | 15-246-325-3001
 Supplier#000000393        | 15-120-912-1594
 Supplier#000000434        | 15-763-277-6054
 Supplier#000000447        | 15-104-804-3139
 Supplier#000000456        | 15-951-880-7133
 Supplier#000000462        | 15-387-146-3147
 Supplier#000000464        | 15-653-204-7643
 Supplier#000000487        | 15-551-730-1265
 Supplier#000000516        | 15-165-647-2301
 Supplier#000000526        | 15-539-980-8303
 Supplier#000000542        | 15-378-700-5884
 Supplier#000000637        | 15-832-253-5581
 Supplier#000000700        | 15-648-846-4789
 Supplier#000000723        | 15-714-811-1747
 Supplier#000000749        | 15-131-224-8530
 Supplier#000000751        | 15-773-726-6594
 Supplier#000000790        | 15-189-744-3618
 Supplier#000000819        | 15-492-900-7246
 Supplier#000000864        | 15-293-129-4196
 Supplier#000000900        | 15-926-534-2005
 Supplier#000000910        | 15-960-448-6633
 Supplier#000001026        | 15-655-974-9432
 Supplier#000001029        | 15-507-720-2035
 Supplier#000001032        | 15-328-403-4879
 Supplier#000001068        | 15-332-440-7893
 Supplier#000001088        | 15-493-974-1062
 Supplier#000001114        | 15-513-472-2380
 Supplier#000001132        | 15-583-125-3480
 Supplier#000001164        | 15-830-566-1096
 Supplier#000001230        | 15-922-198-8652
 Supplier#000001237        | 15-830-628-9526
 Supplier#000001250        | 15-552-400-9891
 Supplier#000001304        | 15-452-488-8513
 Supplier#000001322        | 15-363-480-8363
 Supplier#000001354        | 15-626-165-4902
 Supplier#000001386        | 15-186-107-2835
 Supplier#000001450        | 15-869-845-5599
