          s_name           | numwait 
---------------------------+---------
 Supplier#000007738        |      21
 Supplier#000002595        |      18
 Supplier#000004536        |      18
 Supplier#000005372        |      18
 Supplier#000006322        |      18
 Supplier#000009887        |      18
 Supplier#000000526        |      17
 Supplier#000002346        |      17
 Supplier#000004368        |      17
 Supplier#000006476        |      17
 Supplier#000001817        |      16
 Supplier#000002147        |      16
 Supplier#000002153        |      16
 Supplier#000003881        |      16
 Supplier#000004681        |      16
 Supplier#000006051        |      16
 Supplier#000006813        |      16
 Supplier#000007505        |      16
 Supplier#000008142        |      16
 Supplier#000008217        |      16
 Supplier#000000464        |      15
 Supplier#000000910        |      15
 Supplier#000001114        |      15
 Supplier#000001230        |      15
 Supplier#000001593        |      15
 Supplier#000003221        |      15
 Supplier#000004039        |      15
 Supplier#000005675        |      15
 Supplier#000005923        |      15
 Supplier#000006386        |      15
 Supplier#000008291        |      15
 Supplier#000008466        |      15
 Supplier#000008917        |      15
 Supplier#000009205        |      15
 Supplier#000009856        |      15
 Supplier#000000132        |      14
 Supplier#000000393        |      14
 Supplier#000001737        |      14
 Supplier#000002414        |      14
 Supplier#000003238        |      14
 Supplier#000003536        |      14
 Supplier#000003939        |      14
 Supplier#000003948        |      14
 Supplier#000004249        |      14
 Supplier#000004929        |      14
 Supplier#000005784        |      14
 Supplier#000006081        |      14
 Supplier#000006411        |      14
 Supplier#000006606        |      14
 Supplier#000007469        |      14
 Supplier#000008328        |      14
 Supplier#000000723        |      13
 Supplier#000001250        |      13
 Supplier#000001792        |      13
 Supplier#000001861        |      13
 Supplier#000001970        |      13
 Supplier#000002186        |      13
 Supplier#000002217        |      13
 Supplier#000002580        |      13
 Supplier#000002979        |      13
 Supplier#000003103        |      13
 Supplier#000003155        |      13
 Supplier#000003197        |      13
 Supplier#000003447        |      13
 Supplier#000003464        |      13
 Supplier#000003872        |      13
 Supplier#000003920        |      13
 Supplier#000004340        |      13
 Supplier#000004419        |      13
 Supplier#000004790        |      13
 Supplier#000004801        |      13
 Supplier#000005473        |      13
 Supplier#000005648        |      13
 Supplier#000005740        |      13
 Supplier#000006538        |      13
 Supplier#000006678        |      13
 Supplier#000007319        |      13
 Supplier#000007735        |      13
 Supplier#000008307        |      13
 Supplier#000009153        |      13
 Supplier#000009203        |      13
 Supplier#000009259        |      13
 Supplier#000009671        |      13
 Supplier#000000002        |      12
 Supplier#000000434        |      12
 Supplier#000001164        |      12
 Supplier#000001531        |      12
 Supplier#000002353        |      12
 Supplier#000002461        |      12
 Supplier#000002635        |      12
 Supplier#000003157        |      12
 Supplier#000003218        |      12
 Supplier#000003326        |      12
 Supplier#000004032        |      12
 Supplier#000004591        |      12
 Supplier#000004626        |      12
 Supplier#000004706        |      12
 Supplier#000005270        |      12
 Supplier#000005380        |      12
 Supplier#000005970        |      12
(100 rows)

