 num_orders | num_customers 
------------+---------------
          0 |         50004
          1 |            17
          2 |           130
          3 |           389
          4 |          1006
          5 |          1915
          6 |          3269
          7 |          4616
          8 |          5878
          9 |          6581
         10 |          6588
         11 |          6026
         12 |          5658
         13 |          5002
         14 |          4470
         15 |          4458
         16 |          4359
         17 |          4494
         18 |          4486
         19 |          4781
         20 |          4563
         21 |          4172
         22 |          3742
         23 |          3191
         24 |          2713
         25 |          2127
         26 |          1684
         27 |          1218
         28 |           874
         29 |           607
         30 |           414
         31 |           218
         32 |           146
         33 |            81
         34 |            52
         35 |            34
         36 |            19
         37 |             8
         38 |             2
         39 |             3
         40 |             3
         41 |             2
(42 rows)

