 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               | ps_supplycost 
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------+---------------
   7035.97 | Supplier#000005017        | INDIA                     |        16 | Manufacturer#3            | RMaCRF8C,C3                              | 18-252-308-7859 | nal dolphins. fluffily ironic accounts eat final requests. unusual packages are carefu               |        781.91
   4515.80 | Supplier#000000060        | INDIA                     |        59 | Manufacturer#5            | cb08ntDTARo47WmnBcYXu                    | 18-550-360-2464 | thely express ideas use blithely                                                                     |        357.22
   1072.26 | Supplier#000002594        | INDONESIA                 |        93 | Manufacturer#2            | BJdtygY30B7X6fqO4iCQukCWuseKiUkdTKC9aIhe | 19-468-860-7708 | sly slow depths cajole fluffily. final acco                                                          |        376.47
   1085.89 | Supplier#000002757        | INDONESIA                 |       256 | Manufacturer#3            | CaERkgKvPpr4LVD7voAskre1t8mzOHd 47mHT    | 19-959-961-5223 | ggle blithely. regular accounts                                                                      |        822.40
   6967.02 | Supplier#000002885        | JAPAN                     |       384 | Manufacturer#4            | 7wgc,Ccw1HNHeJZSWhmubwW,HK1Yy8ADe        | 22-492-408-3593 | posits cajole. furiously i                                                                           |         45.13
   5836.17 | Supplier#000000385        | CHINA                     |       384 | Manufacturer#4            | 4RDwKCNc6 yBY                            | 28-730-866-8837 | frays. requests sleep ironic theodolites. carefully even requests doubt furious                      |        753.69
   7325.13 | Supplier#000007934        | INDONESIA                 |       433 | Manufacturer#1            | V4mz6vAwVGH6j3izJ,dw8DnqWu3FN            | 19-825-315-2126 | furiously unusual courts u                                                                           |        102.32
   7550.40 | Supplier#000000776        | VIETNAM                   |       775 | Manufacturer#1            | nklfFoSkCwf,ooSuF                        | 31-317-593-4029 | es haggle instructions. bravely furious deposits haggle blithely. quickly regular water              |        106.20
   7841.05 | Supplier#000005954        | INDONESIA                 |       953 | Manufacturer#4            | wOwcbbHNV2p,Glt8SijFnE9ZLcTbnhESeLvyFN   | 19-145-589-1532 | fully regular foxes nag carefully! even ideas cajole permanently special deposits. carefull          |        631.71
   3978.33 | Supplier#000006229        | INDONESIA                 |      1228 | Manufacturer#3            | xBtJZwxIvrC                              | 19-453-638-3838 | . furiously even instructions haggle. permanently special deposits are slyly. fin                    |        797.53
   1103.22 | Supplier#000004155        | CHINA                     |      1654 | Manufacturer#2            | 1kFL1WiHShkArhTmnzyE2x4QLO               | 28-897-120-9617 | posits sleep quickly at the instructions. carefully final excuses sleep. bold, special pack          |         21.78
    276.72 | Supplier#000009323        | JAPAN                     |      1822 | Manufacturer#3            | xQzxixcS9G30QYFoAsEiB ph2eQkiCyUwsYc7y   | 22-230-852-1667 |  final, regular foxes wake slyly express, bold pinto beans. ironic pinto beans wake slyly            |        669.33
    406.37 | Supplier#000000786        | INDIA                     |      3285 | Manufacturer#3            | QiKBtsiRdDZ2xGcwZgOSoMaKSH4HQ360,88L     | 18-280-624-2919 | uests. regular warthogs across the blithely express                                                  |        920.39
   1682.50 | Supplier#000006543        | INDIA                     |      4042 | Manufacturer#2            | u3 yVNH8Fa2hBi,My2                       | 18-570-252-4956 | riously. carefully ironic accounts haggle furiously. blithely final deposits about                   |        313.86
   5150.03 | Supplier#000004724        | CHINA                     |      4723 | Manufacturer#5            | lljIGbk5L5dtN3mTFhSXIhi1o6GzBUyC9        | 28-181-636-3740 | onic requests haggle quickly ruthless pinto beans. platelets haggle across the final, fluffy theodol |        819.41
    545.06 | Supplier#000004794        | INDONESIA                 |      4793 | Manufacturer#5            | WqqTjtxiy3l7bJxoqJD wsfP2Gm14AYZC,2J41   | 19-808-447-7933 | y special requests; regular, special excuses sleep after the special                                 |        771.59
    184.63 | Supplier#000009794        | INDIA                     |      4793 | Manufacturer#5            | Iy0biqUnW8SEy0wUDtcJVDqWauFFgUarPO7PG5c  | 18-249-137-4735 | d the permanently final courts. eve                                                                  |        825.16
   6848.59 | Supplier#000007373        | JAPAN                     |      4872 | Manufacturer#5            | QM5agRKsO9Jum2BMcstO9ZroT qpppshbxs      | 22-674-381-2045 | ckages sleep slyly by the requests? bold ide                                                         |        418.45
   5712.00 | Supplier#000004957        | INDONESIA                 |      4956 | Manufacturer#4            | jowpMl4a6x6 OYnyhaLCG2,p                 | 19-426-439-1855 | r the doggedly final requests wake above the                                                         |        295.27
   3670.30 | Supplier#000003284        | JAPAN                     |      5783 | Manufacturer#1            | d8 h32eyBU6yi Rk2SZOfRYB06rG             | 22-125-894-4783 | s. pending, ironic deposits wake along the fu                                                        |        378.73
    889.08 | Supplier#000008284        | INDONESIA                 |      5783 | Manufacturer#1            | agYEWUArk7a Sp6                          | 19-421-597-7278 | c, ironic asymptotes. stealthy requests boost. regular ideas affix                                   |        385.63
   6541.21 | Supplier#000006069        | JAPAN                     |      6068 | Manufacturer#4            | v8dIXRVHj36WcUF4RKLjoRq Bt X6B 68cFU     | 22-946-698-4046 | lites after the requests wake carefully regular instructions. furiously even d                       |         13.46
   -878.43 | Supplier#000001069        | CHINA                     |      6068 | Manufacturer#4            | VlfbeQ8ZEEaAYXcoXBft1TQ                  | 28-959-318-6130 | ts sleep fluffily pending dolphins. furiously pending platelets cajole slyly across the furiously s  |        260.48
   9042.87 | Supplier#000007100        | INDIA                     |      7099 | Manufacturer#1            | uepAB9PA3BhNu,THXvIB                     | 18-222-364-6257 | ccounts nag. slyly regular ideas use. furiously regular requests print. unusual, stealthy theodo     |        164.31
   8513.63 | Supplier#000004600        | JAPAN                     |      7099 | Manufacturer#1            | iGVGwr0UYHqbt5Mg                         | 22-756-980-3416 | kages haggle furiously above the carefully bold                                                      |        552.96
   5352.15 | Supplier#000007327        | JAPAN                     |      7326 | Manufacturer#4            | uZGHBo4xgx W2sT8oA5drPwqQL8Bw5YU,ZNb     | 22-154-891-1374 |  to the carefully unusual ideas sl                                                                   |        711.79
   -978.28 | Supplier#000007558        | INDIA                     |      7557 | Manufacturer#3            | 6bAWEpC3vt8cqJ6oj v5BbqR                 | 18-392-526-9580 | eodolites wake according to the stealthy, ca                                                         |        357.15
    463.50 | Supplier#000007972        | VIETNAM                   |      7971 | Manufacturer#1            | WW0GuiWP2N3kUo4f                         | 31-958-906-9709 | nt deposits are fluffily regular requests. furiously silent requests ar                              |        679.21
   -278.27 | Supplier#000005472        | VIETNAM                   |      7971 | Manufacturer#1            | LlyLSmvY9GFvMN4QhHzMokW0k5d              | 31-595-192-5906 | ing dinos use. deposits are furiously final, final pinto beans.                                      |        849.58
   7447.69 | Supplier#000008197        | INDIA                     |      8196 | Manufacturer#1            | u1PZvjDFfDzxU3F1ZlSA03gFDP11s            | 18-550-473-1416 | . bold instructions use special, silent requests; quickly express deposits sleep furiously theodo    |        468.76
   6463.10 | Supplier#000000697        | JAPAN                     |      8196 | Manufacturer#1            | CnQUnxL9Jk1ew4 kK,DqzwwV34c1KUiu4xFVsG   | 22-673-286-5547 |  furious frets. furiously even accounts should affix furiously blithely final theo                   |        490.30
   4627.46 | Supplier#000001742        | VIETNAM                   |      9241 | Manufacturer#2            | sbLubkV9ZTNbLsak6yM4oMz                  | 31-253-408-5060 | des impress carefully final accounts! furiously regular deposits                                     |        107.18
   5599.91 | Supplier#000004242        | CHINA                     |      9241 | Manufacturer#2            | SalyknolA3M0Hh1c3WXbfmZ                  | 28-928-132-6073 | ngside of the slyly blithe packages. slyly unusual ideas haggle evenly. express, ironic packages u   |        401.07
   1396.15 | Supplier#000004471        | CHINA                     |      9470 | Manufacturer#3            | N,TTUEjO,aX3CVT2OVCCewJ                  | 28-628-863-1077 | according to the slyly regular pinto beans. furiously ironic asymptotes                              |        738.10
   7884.48 | Supplier#000006971        | JAPAN                     |      9470 | Manufacturer#3            | S2pAN0uYjU,0fODwI8HBiSxzglO              | 22-523-651-4190 | yly express hockey players. accounts after the special, final deposits integrate above               |        778.09
   9008.68 | Supplier#000009716        | CHINA                     |      9715 | Manufacturer#5            | VXVt87Jc Eg2w8x8QGk,c3                   | 28-427-307-2561 | ly unusual pinto beans. sometimes express foxes affix fluffily. bold deposits unwind fluffily r      |        525.48
   9784.19 | Supplier#000002216        | JAPAN                     |      9715 | Manufacturer#5            | 8 AciCfJsC6l2PC3ELfiFMCJDSswf            | 22-260-421-5259 | e sometimes special attainments. quickly regular deposits amon                                       |        710.20
   1950.70 | Supplier#000009987        | JAPAN                     |      9986 | Manufacturer#1            | uyeONdpYJFjU Xh6e1YVk,rbJlQczYul         | 22-168-108-7868 | ickly even attainments wake bli                                                                      |         58.01
   6942.67 | Supplier#000000041        | CHINA                     |     10040 | Manufacturer#4            | G 1FKHR435 wMKFmyt                       | 28-739-447-2525 | odolites boost across the furiously regular fo                                                       |        633.73
   9989.02 | Supplier#000002892        | JAPAN                     |     10390 | Manufacturer#2            | g  RYnxGX5D 192b2QWfOL9 DII              | 22-714-719-2067 | . regular requests across the pend                                                                   |        422.11
   5098.01 | Supplier#000009391        | INDIA                     |     11887 | Manufacturer#4            | gjRrYc6Sgs0LTPfbI3z90P9ylAhOZW00b        | 18-450-578-2745 | ns do boost deposits. unusual instructions sleep fluffily carefull                                   |        783.58
   8159.59 | Supplier#000007263        | VIETNAM                   |     12260 | Manufacturer#5            | malQPdYc8xiup2MiFuKHa                    | 31-733-855-9694 | , regular foxes. idly express requests sleep evenly final, silent requests. bold, regular deposits u |        759.61
   7866.26 | Supplier#000002261        | VIETNAM                   |     12260 | Manufacturer#5            | jhGiJYH8xFOniPzhoB4TO4HV,CEt             | 31-965-646-7762 | oost. packages nag slyly. regular, idle deposits wa                                                  |        832.50
   5779.72 | Supplier#000007627        | INDIA                     |     12624 | Manufacturer#3            | CiBhgStvuY3eopiZkdC63LWs                 | 18-981-431-2170 | refully even, silent packages.                                                                       |        414.37
   4422.77 | Supplier#000000302        | CHINA                     |     12798 | Manufacturer#2            | ow8Io1JHkPnIAGCQYCWC                     | 28-734-845-8630 | tructions after the foxes cajole regularly ironic tithes. ruthless forges across the slyly express   |        560.80
   7654.94 | Supplier#000000458        | VIETNAM                   |     12954 | Manufacturer#3            | IFNkUK1H53HwUHabiONkMFAUDb               | 31-318-754-9316 | blithely enticing deposits are. furiously final accounts about the regular requests h                |        749.00
   8228.66 | Supplier#000002967        | CHINA                     |     12966 | Manufacturer#3            | lIgtycEJeN4N1WUZG1hX8v1irzyj4qx7kCwrCZj  | 28-248-238-8501 | in the regular pinto beans. regular, bold instructions sleep slyly. carefully iro                    |        410.89
   1051.15 | Supplier#000008399        | JAPAN                     |     13396 | Manufacturer#5            | 0kw6rk0zf9zgzMhwTcyGeJ6AyTug8Z,Xp        | 22-815-494-2565 | es wake. sometimes even packages cajole. foxes sleep carefully regular, silent platelet              |        598.20
