       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice | total_quantity 
--------------------+-----------+------------+-------------+--------------+----------------
 Customer#000036619 |     36619 |    4806726 | 1995-01-17  |    446704.09 |         328.00
 Customer#000066790 |     66790 |    2199712 | 1996-09-30  |    515531.82 |         327.00
 Customer#000128120 |    128120 |    4722021 | 1994-04-07  |    544089.09 |         323.00
 Customer#000119989 |    119989 |    1544643 | 1997-09-20  |    434568.25 |         320.00
 Customer#000126865 |    126865 |    4702759 | 1994-11-07  |    447606.65 |         320.00
 Customer#000147197 |    147197 |    1263015 | 1997-02-02  |    467149.67 |         320.00
 Customer#000015619 |     15619 |    3767271 | 1996-08-07  |    480083.96 |         318.00
 Customer#000144617 |    144617 |    3043270 | 1997-02-12  |    530604.44 |         317.00
 Customer#000117919 |    117919 |    2869152 | 1996-06-20  |    456815.92 |         317.00
 Customer#000148885 |    148885 |    2942469 | 1992-05-31  |    469630.44 |         313.00
 Customer#000016384 |     16384 |     502886 | 1994-04-12  |    458378.92 |         312.00
 Customer#000096103 |     96103 |    5984582 | 1992-03-16  |    494398.79 |         312.00
 Customer#000137446 |    137446 |    5489475 | 1997-05-23  |    487763.25 |         311.00
 Customer#000141823 |    141823 |    2806245 | 1996-12-29  |    446269.12 |         310.00
 Customer#000012251 |     12251 |     735366 | 1993-11-24  |    455107.26 |         309.00
 Customer#000010129 |     10129 |    5849444 | 1994-03-21  |    409129.85 |         309.00
 Customer#000046435 |     46435 |    4745607 | 1997-07-03  |    508047.99 |         309.00
 Customer#000037729 |     37729 |    4134341 | 1995-06-29  |    441082.97 |         309.00
 Customer#000114586 |    114586 |     551136 | 1993-05-19  |    469605.59 |         308.00
 Customer#000018188 |     18188 |    3037414 | 1995-01-25  |    443807.22 |         308.00
 Customer#000120098 |    120098 |    1971680 | 1995-06-14  |    453451.23 |         308.00
 Customer#000054602 |     54602 |    5832321 | 1997-02-09  |    471220.08 |         307.00
 Customer#000105995 |    105995 |    2096705 | 1994-07-03  |    469692.58 |         307.00
 Customer#000077260 |     77260 |    1436544 | 1992-09-12  |    479499.43 |         307.00
 Customer#000069904 |     69904 |    1742403 | 1996-10-19  |    408513.00 |         305.00
 Customer#000081581 |     81581 |    4739650 | 1995-11-04  |    435405.90 |         305.00
 Customer#000112987 |    112987 |    4439686 | 1996-09-17  |    418161.49 |         305.00
 Customer#000082441 |     82441 |     857959 | 1994-02-07  |    382579.74 |         305.00
 Customer#000066533 |     66533 |      29158 | 1995-10-21  |    443576.50 |         305.00
 Customer#000045538 |     45538 |    4527553 | 1994-05-22  |    436275.31 |         305.00
 Customer#000088876 |     88876 |     983201 | 1993-12-30  |    446717.46 |         304.00
 Customer#000064483 |     64483 |    2745894 | 1996-07-04  |    466991.35 |         304.00
