 s_acctbal |          s_name           |         s_nation          | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   1131.80 | Supplier#000006124        | INDIA                     |    133610 | Manufacturer#1            | KsV6PYudv3JASdU85i                       | 18-876-513-4459 | ar requests. even deposits wake pending instructions. fluffily unusual excuses was slyly ab
   4694.02 | Supplier#000001048        | INDONESIA                 |     16045 | Manufacturer#5            | f172BTkk1PgyO06NwAt                      | 19-493-938-3406 | out the ironic packages. regular foxes sleep quickly alongside of the ir
    362.52 | Supplier#000001160        | JAPAN                     |    111159 | Manufacturer#2            | 4Z4HmpP2dhWI8vTzhjFTZGyGHa,7yu           | 22-871-346-4321 | c pinto beans according to the quickly ironic accounts cajo
   3735.35 | Supplier#000003558        | JAPAN                     |     53557 | Manufacturer#5            | CYnj79lLULxf,2fHZ1Jp,2N97uREQpHJr1       | 22-739-421-6188 | ns cajole above the slyly express deposi
   3647.58 | Supplier#000006071        | CHINA                     |    116070 | Manufacturer#4            | ojOm7rfzVPqx XWyF0rvU3wbJ                | 28-951-903-3383 | efully express pinto beans wake blithel
   6895.79 | Supplier#000007442        | VIETNAM                   |     99914 | Manufacturer#2            | DzycM1,T6kh2EutfPeFpv0Ro                 | 31-999-609-6818 | usly final packages boost. deposits wake a
   9524.33 | Supplier#000009550        | INDONESIA                 |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   5902.03 | Supplier#000002409        | VIETNAM                   |     57398 | Manufacturer#2            | oy39SaSQ,FIP pzLqblhxj                   | 31-943-688-4514 | , regular packages cajole blithely furiously regular depths. forges kindle furiously unusual pa
   6541.21 | Supplier#000006069        | JAPAN                     |      6068 | Manufacturer#4            | v8dIXRVHj36WcUF4RKLjoRq Bt X6B 68cFU     | 22-946-698-4046 | lites after the requests wake carefully regular instructions. furiously even d
   7962.30 | Supplier#000007816        | VIETNAM                   |    112793 | Manufacturer#3            | 1ejcJ545bwLWLuY6Qq4qyEExZIsp0SG          | 31-710-857-3724 | theodolites according to the bold pinto beans print bold foxes
   2403.02 | Supplier#000006752        | CHINA                     |     14250 | Manufacturer#2            | i8fWpSw62jh                              | 28-968-869-9241 | carefully ironic deposits. quickly bold packa
   8940.75 | Supplier#000003698        | VIETNAM                   |    108677 | Manufacturer#2            | lnSEu64ca4B53BfznJPg                     | 31-804-633-2078 | nal theodolites boost fluffily blithely final 
   6029.82 | Supplier#000009504        | VIETNAM                   |    184467 | Manufacturer#5            | Rqt07,ANI92kj1oU                         | 31-975-106-3065 | arefully aboCustomer gular packages. idly regular requests booComplaintssly fluff
   1050.76 | Supplier#000004990        | CHINA                     |    137450 | Manufacturer#4            | MgrvPgsfLD4Z2CkrORXppETrXWsYT            | 28-360-531-4238 | ole about the unusual theodolites. requests wake slyly ironic, final multipliers. carefully even f
   1103.22 | Supplier#000004155        | CHINA                     |      1654 | Manufacturer#2            | 1kFL1WiHShkArhTmnzyE2x4QLO               | 28-897-120-9617 | posits sleep quickly at the instructions. carefully final excuses sleep. bold, special pack
   7048.30 | Supplier#000000611        | INDIA                     |    113077 | Manufacturer#3            |  6BVljZ1HeradVcmcDm90NYkla3iHPBsTSoUJr   | 18-554-185-6487 | al courts sleep carefully about the blithely express accounts. fluffily even request
   4515.80 | Supplier#000000060        | INDIA                     |     85043 | Manufacturer#5            | cb08ntDTARo47WmnBcYXu                    | 18-550-360-2464 | thely express ideas use blithely 
    234.45 | Supplier#000003666        | VIETNAM                   |    153665 | Manufacturer#2            | ENS fE9iSrSzw,iTwA,zGorkflw              | 31-974-495-7616 | nal instructions. regular courts haggle carefully a
   3130.61 | Supplier#000004292        | VIETNAM                   |    161775 | Manufacturer#4            | HfbQVVt2syII                             | 31-925-781-9911 | ounts. thinly ironic pinto beans detect carefully even accou
   4014.62 | Supplier#000003436        | INDONESIA                 |    188399 | Manufacturer#4            | pVwVAr23pEMeJ                            | 19-391-495-4796 | ess accounts solve. ideas sleep enticingly regular pa
   3969.33 | Supplier#000006273        | CHINA                     |    103762 | Manufacturer#2            | SGMEJDhNRsinMcSCymSVfAq0uq               | 28-855-178-4941 | lithely regular requests around the quickly even foxes are fluffily even theodoli
   2577.10 | Supplier#000002793        | CHINA                     |    150277 | Manufacturer#5            | aJBVO0DwezZsCpS9cD7DwubbGvSON48MGiWW     | 28-445-136-7777 | lly ironic theodolites wake furiously regular dependencies. even, regular depos
   1022.15 | Supplier#000003629        | CHINA                     |    101118 | Manufacturer#5            | fco32LPL55pLFoH0                         | 28-780-309-4610 | above the dinos. furiously ironic packages affix slyly furiously ironic deposits. car
   6085.95 | Supplier#000007749        | INDIA                     |    180194 | Manufacturer#5            | yS8 YrUHktkqqqCL7Od9S                    | 18-225-478-7489 | sts haggle blithely. silent dolphins cajole slyly carefully ironic requests. sl
    234.45 | Supplier#000003666        | VIETNAM                   |    111154 | Manufacturer#3            | ENS fE9iSrSzw,iTwA,zGorkflw              | 31-974-495-7616 | nal instructions. regular courts haggle carefully a
   3020.41 | Supplier#000005327        | VIETNAM                   |    122814 | Manufacturer#4            | 8ezizGofvsnWm1giKVGk                     | 31-362-378-8693 | about the ideas boost blithely among the slyly iron
   3969.42 | Supplier#000009185        | INDONESIA                 |     16683 | Manufacturer#2            | v66BUMEgc3P24E8PLV nMkC3w2bWb            | 19-630-483-6872 | ar pinto beans cajole even, 
   1473.27 | Supplier#000004480        | VIETNAM                   |     41975 | Manufacturer#2            | Y5IH27lNQEwL2PG6Vd0Lzpg49l2xJXNeD        | 31-991-148-7977 |  across the quickly special requests ar
   6967.02 | Supplier#000002885        | JAPAN                     |       384 | Manufacturer#4            | 7wgc,Ccw1HNHeJZSWhmubwW,HK1Yy8ADe        | 22-492-408-3593 | posits cajole. furiously i
   6598.53 | Supplier#000009777        | INDONESIA                 |     74762 | Manufacturer#4            | EdtUwT6BBgUVlx7Tqq35UG3f359UgC0          | 19-406-999-1389 | gular instructions nag blithely quickly final 
   1485.45 | Supplier#000000320        | VIETNAM                   |    147805 | Manufacturer#1            | v2FlHgKKiGiDwR7uoJNWF                    | 31-984-744-5308 | ns nag carefully carefully pending platelets. pending deposits dazzle. requests above the i
   6742.63 | Supplier#000002482        | CHINA                     |    124945 | Manufacturer#3            | VgZca,08Okt4SYYxnN80OkUy3Lt0X0TB2ue      | 28-698-684-4533 | unusual deposits cajole quickly after the fluff
   -229.07 | Supplier#000006621        | INDIA                     |    181584 | Manufacturer#3            | T35LAZIU0Q                               | 18-391-305-1312 |  bold accounts cajole across the blithely final dependencies. ironic dolp
   2741.94 | Supplier#000005103        | VIETNAM                   |    185102 | Manufacturer#2            | DfoIXDaKULqKehaCB1RNNL1v9DFK7OYj         | 31-651-628-8911 | uriously final excuses. furiously final req
   8693.69 | Supplier#000008462        | INDIA                     |     70940 | Manufacturer#1            | 3K6 wmXG E64Mfx 4Et                      | 18-878-705-6103 |  bold, regular foxes beyond t
   8190.80 | Supplier#000002079        | INDONESIA                 |    152078 | Manufacturer#3            | 2oUXSqxj,oPyDvoEPcgrBKinWFqgWxBa5kglvvo  | 19-917-742-4588 | ar packages affix furiously regu
    206.21 | Supplier#000003279        | CHINA                     |    163278 | Manufacturer#4            | ewVQdElxm9                               | 28-760-651-8330 | ncies. fluffily ironic excuses haggle furi
   -856.38 | Supplier#000007406        | INDIA                     |     44901 | Manufacturer#4            | eugL0NHIQ0UX8PpqeI                       | 18-581-490-7546 | fully even requests sleep around the final, bold requests. quickly
   6957.41 | Supplier#000008767        | INDIA                     |    143738 | Manufacturer#4            | YwJ mUqcO65RA2JdRrwF                     | 18-720-149-3929 | he ironic, unusual deposi
   6293.03 | Supplier#000003287        | INDONESIA                 |    138260 | Manufacturer#2            | zTGbtB bMCt5Rl D6fJ rVj0F2ogI            | 19-416-117-4411 | ts are. carefully pending requests wake blithely si
   1950.70 | Supplier#000009987        | JAPAN                     |      9986 | Manufacturer#1            | uyeONdpYJFjU Xh6e1YVk,rbJlQczYul         | 22-168-108-7868 | ickly even attainments wake bli
   3690.83 | Supplier#000003522        | INDIA                     |     33521 | Manufacturer#1            | ODcWij9FOSN                              | 18-750-795-2411 | pecial braids. furiously bold requests beside the a
   -816.02 | Supplier#000009183        | JAPAN                     |     39182 | Manufacturer#5            | zGVAmov0l,gmKOA1eWmRQktpZ1C8 fgkXgq      | 22-770-139-6261 | ts wake blithely regular packages. furiously even asymptotes hinder careful
    166.32 | Supplier#000000081        | JAPAN                     |    142538 | Manufacturer#2            | SLlacbhgpKmVa,gF3saYv12e0                | 22-535-310-6971 | oost carefully quickly regular packages. carefully final excuses sleep blithely slyly pendi
   2178.02 | Supplier#000001429        | VIETNAM                   |    133889 | Manufacturer#1            | 4pWaHM0NNE0j GmfgT8                      | 31-457-951-3566 | y pending excuses should have to print among 
   8973.86 | Supplier#000006905        | JAPAN                     |    109374 | Manufacturer#2            | VAktOD8JapqInpe5xjxDUSic2DnfLFOt4kyTWEw  | 22-648-880-9962 | ounts cajole among the final deposits. slyly
   5883.30 | Supplier#000008440        | INDIA                     |     18439 | Manufacturer#2            | hLodfZoCv4q4axaQm7r925TDKn               | 18-495-197-2800 | ly. quickly special requests dazzle quickly. pending patterns wake accor
   -504.16 | Supplier#000009679        | JAPAN                     |     62160 | Manufacturer#1            | ueTQ9bUt0 iZfFRxiF8hFPwpU4PzVq4SUi8      | 22-592-240-3104 | uests after the slyly express accounts sleep carefully careful platelets. bold de
   -864.79 | Supplier#000008161        | VIETNAM                   |     33154 | Manufacturer#1            | hzp mnLVMLO8MX4XfWbNWQjPpD               | 31-554-844-1241 |  solve blithely. furiously special foxes 
   6700.75 | Supplier#000000294        | CHINA                     |     62775 | Manufacturer#1            | 20vnacv,dtZ0mr5kukNf                     | 28-299-788-1836 | en accounts. silent, regular instructio
   2556.42 | Supplier#000009021        | JAPAN                     |    169020 | Manufacturer#4            | 2cI86dCJiou                              | 22-277-653-5354 | tect blithely regular grouches. even, regular 
   6240.69 | Supplier#000001031        | INDIA                     |    156000 | Manufacturer#1            | IqSuMmZ2GwR,Zp8z8                        | 18-423-362-3331 | tions serve blithely blithely even 
   5410.75 | Supplier#000008249        | VIETNAM                   |    113226 | Manufacturer#2            | PwUjvlMk y72zaMRtZQ8trbCmu4j             | 31-104-853-7722 | en excuses boost final, final pearls.
   2926.33 | Supplier#000006526        | VIETNAM                   |    111503 | Manufacturer#5            | cnKnAomKmY                               | 31-394-134-1288 | ut the furiously blithe ideas. bold, bold packages are. finally even theodolites 
   5883.30 | Supplier#000008440        | INDIA                     |    155924 | Manufacturer#1            | hLodfZoCv4q4axaQm7r925TDKn               | 18-495-197-2800 | ly. quickly special requests dazzle quickly. pending patterns wake accor
   -723.78 | Supplier#000000823        | VIETNAM                   |    113289 | Manufacturer#5            |  gC0DrEG5U,v893fp3nj mmXa6rYhJ0tjpJ      | 31-834-127-5277 | ccounts haggle blithely packages. carefully express pinto beans against the unusual
   3064.30 | Supplier#000002297        | JAPAN                     |    174745 | Manufacturer#1            | Brx9U7alFOFnfqMnQaVxiI1ON                | 22-191-279-4345 | en instructions nag at the fluffily final instructions. regular exc
   1541.19 | Supplier#000004318        | INDIA                     |     79303 | Manufacturer#2            | TnLaWeEdA5Hz1yKKi07g6fPtvCF 0fh3Lsvi     | 18-448-117-5693 | key players boost blithely regular ideas. accounts haggle multipliers. f
   5298.91 | Supplier#000001461        | JAPAN                     |     33951 | Manufacturer#1            | k88iU7GXk707r9eKF9Jc9LMHGyumYWsFGpH      | 22-519-392-1119 | as. furiously pending packages are special, silent deposits. busy packag
   4116.24 | Supplier#000005965        | INDONESIA                 |    123452 | Manufacturer#1            | RXgGPHMpLdsK31ygxrY3AQR5U5RI3M6UhX6      | 19-146-379-9429 | structions are blithely. quickly even foxes past t
   8853.39 | Supplier#000004123        | JAPAN                     |    199084 | Manufacturer#5            | cj mnWwEmCpO3LHL2                        | 22-394-647-5982 | ual pinto beans alongside of the quickly pending packages detect alongside of
   6256.89 | Supplier#000004226        | JAPAN                     |    179191 | Manufacturer#1            | TLWMyc6v5CV2fEhXF0JzzTaN70X588o          | 22-534-251-8116 |  to the ironic deposits. carefully express p
   9380.43 | Supplier#000003810        | VIETNAM                   |    103809 | Manufacturer#4            | 1zPgEZHmn0fbUaQDRNH,uZ uci               | 31-319-356-3632 | l instructions play furiously bold accounts. bold, final accounts a
    159.36 | Supplier#000001238        | CHINA                     |     53722 | Manufacturer#1            | o3IxY ehZtQ64ubysr84V                    | 28-223-865-6534 |  after the quickly ironic frets. regular, fi
   9634.26 | Supplier#000004927        | INDONESIA                 |    197369 | Manufacturer#5            | h5WAYrJzZMHnOnz5EgO,EvjnJPzp0FhX         | 19-636-113-7546 | refully. express deposits detect around the blithely ironic dependencies. r
   3513.89 | Supplier#000000308        | INDIA                     |    125283 | Manufacturer#5            | mVY7rtoxj9uSqzAJIp TOWPsv080hbPbOStGZx   | 18-360-691-8400 | tructions hang carefully according to the furiously close requests. fur
   2380.15 | Supplier#000006552        | INDIA                     |    174034 | Manufacturer#1            | zA5d8 k3R WZ9yJ8kFGbzl9QRe4SBZoNN6fl     | 18-628-594-1404 |  to the even instructions. fluffily 
   2733.69 | Supplier#000000054        | JAPAN                     |     70053 | Manufacturer#1            | J1s,Wxb5pg                               | 22-966-435-7200 | blithely pending dolphins. quickly regular theodolites haggle slyly
   6475.09 | Supplier#000006319        | INDONESIA                 |    146318 | Manufacturer#2            | pUwA09iYxW1I  ir4Dy24dt8jpUfIhhQB        | 19-691-845-4827 | h fluffily furiously pending instructions. 
   4441.07 | Supplier#000007942        | CHINA                     |    107941 | Manufacturer#1            | vgBd9c9KUhLfkbhU                         | 28-874-122-3833 | sual accounts. quickly regular deposits are fluffily above the quickly final packag
   7325.13 | Supplier#000007934        | INDONESIA                 |       433 | Manufacturer#1            | V4mz6vAwVGH6j3izJ,dw8DnqWu3FN            | 19-825-315-2126 | furiously unusual courts u
   6085.95 | Supplier#000007749        | INDIA                     |    145234 | Manufacturer#5            | yS8 YrUHktkqqqCL7Od9S                    | 18-225-478-7489 | sts haggle blithely. silent dolphins cajole slyly carefully ironic requests. sl
   4801.02 | Supplier#000002246        | INDIA                     |     42245 | Manufacturer#2            | GXk1ttT7 7BgRhvK X,7t                    | 18-257-298-6662 | olites haggle quickly. packages maintain furiously pending pinto beans? asymptotes sle
   7550.40 | Supplier#000000776        | VIETNAM                   |       775 | Manufacturer#1            | nklfFoSkCwf,ooSuF                        | 31-317-593-4029 | es haggle instructions. bravely furious deposits haggle blithely. quickly regular water
   1613.17 | Supplier#000006254        | VIETNAM                   |    166253 | Manufacturer#2            | g7OY1vWNUb1vxIRgEl                       | 31-267-164-9506 | efully silent instructions wake slyly carefully special pinto beans. quickly even pat
   -427.36 | Supplier#000005320        | INDONESIA                 |    142805 | Manufacturer#2            | 0SVtkH70cY3                              | 19-157-710-7476 | ilent instructions-- ironic, pending dolphins sleep carefully ironic ideas. regular deposits boost s
