 l_suppkey |          s_name           | l_orderkey | o_orderdate | o_totalprice 
-----------+---------------------------+------------+-------------+--------------
      8291 | Supplier#000008291        |    3798275 | 1994-05-01  |    219173.05
      8388 | Supplier#000008388        |    3799584 | 1993-02-19  |    301012.43
      9348 | Supplier#000009348        |    3827333 | 1992-12-11  |    240314.03
      7294 | Supplier#000007294        |    3827808 | 1993-09-30  |    175399.82
      3948 | Supplier#000003948        |    3829056 | 1992-08-09  |    258648.64
      3520 | Supplier#000003520        |    3838816 | 1993-01-22  |    162236.07
      8238 | Supplier#000008238        |    3839008 | 1994-02-01  |    109140.22
      5641 | Supplier#000005641        |    3839620 | 1993-03-07  |    328541.32
      2404 | Supplier#000002404        |    3847527 | 1992-10-11  |    214870.18
      4862 | Supplier#000004862        |    3848774 | 1993-04-20  |    259246.33
      7843 | Supplier#000007843        |    3848965 | 1992-11-05  |    163500.54
      3218 | Supplier#000003218        |    3850466 | 1992-07-10  |      7790.35
      2732 | Supplier#000002732        |    3858626 | 1992-05-16  |    200924.47
      2510 | Supplier#000002510        |    3858661 | 1994-10-06  |     49001.21
      7337 | Supplier#000007337        |    3859107 | 1992-06-15  |    111448.76
      2958 | Supplier#000002958        |    3859780 | 1992-06-10  |     69573.95
      7776 | Supplier#000007776        |    3868417 | 1992-06-07  |    117478.47
      3733 | Supplier#000003733        |    3868550 | 1993-11-25  |    107957.90
      5849 | Supplier#000005849        |    3869763 | 1992-10-08  |     78468.69
      3472 | Supplier#000003472        |    3871238 | 1993-12-31  |     71678.01
      7506 | Supplier#000007506        |    3879106 | 1992-07-04  |    109352.16
      2414 | Supplier#000002414        |    3879303 | 1992-04-26  |    108290.18
      7023 | Supplier#000007023        |    3880483 | 1994-08-22  |    239477.33
      4419 | Supplier#000004419        |    3888705 | 1992-04-13  |     95796.08
      5274 | Supplier#000005274        |    3889120 | 1994-07-18  |    105877.90
         2 | Supplier#000000002        |    3889155 | 1992-03-07  |    267423.92
      6018 | Supplier#000006018        |    3889415 | 1994-01-12  |     94469.23
      8745 | Supplier#000008745        |    3890214 | 1992-05-13  |    269231.02
      4088 | Supplier#000004088        |    3890850 | 1993-10-16  |    225840.70
      5641 | Supplier#000005641        |    3891745 | 1993-09-05  |    159017.41
      7173 | Supplier#000007173        |    3891746 | 1994-08-02  |    250382.46
       150 | Supplier#000000150        |    3899523 | 1992-12-26  |    164271.66
      6859 | Supplier#000006859        |    3899811 | 1993-08-23  |    318226.99
      5922 | Supplier#000005922        |    3900742 | 1994-07-20  |     76073.70
      1820 | Supplier#000001820        |    3901319 | 1992-10-31  |     97505.92
      3157 | Supplier#000003157        |    3901473 | 1993-10-08  |    189238.71
      4626 | Supplier#000004626        |    3901509 | 1993-04-02  |    212212.57
      5784 | Supplier#000005784        |    3901509 | 1993-04-02  |    212212.57
      5088 | Supplier#000005088        |    3901859 | 1995-02-09  |    234711.22
      7377 | Supplier#000007377        |    3909121 | 1992-12-15  |    187804.12
      4792 | Supplier#000004792        |    3919431 | 1993-01-16  |    278325.22
      3747 | Supplier#000003747        |    3920134 | 1993-05-04  |    234967.03
      6968 | Supplier#000006968        |    3920802 | 1992-09-21  |     93073.37
