          n_name           | l_year |    profit     
---------------------------+--------+---------------
 ALGERIA                   |   1998 | 38692406.9032
 ALGERIA                   |   1997 | 48518105.2973
 ALGERIA                   |   1996 | 49642020.9918
 ALGERIA                   |   1995 | 46965097.0917
 ALGERIA                   |   1994 | 47574061.8350
 ALGERIA                   |   1993 | 48535759.0996
 ALGERIA                   |   1992 | 42437402.6087
 ARGENTINA                 |   1998 | 38382300.4951
 ARGENTINA                 |   1997 | 50753715.7435
 ARGENTINA                 |   1996 | 49415763.9290
 ARGENTINA                 |   1995 | 51499196.0449
 ARGENTINA                 |   1994 | 51447309.5719
 ARGENTINA                 |   1993 | 51155506.3864
 ARGENTINA                 |   1992 | 39622961.4388
 BRAZIL                    |   1998 | 35951296.6565
 BRAZIL                    |   1997 | 47198796.2116
 BRAZIL                    |   1996 | 46669850.0416
 BRAZIL                    |   1995 | 48520312.1405
 BRAZIL                    |   1994 | 45935700.0345
 BRAZIL                    |   1993 | 50305545.8942
 BRAZIL                    |   1992 | 37993229.4654
 CANADA                    |   1998 | 38079102.7130
 CANADA                    |   1997 | 49540624.0289
 CANADA                    |   1996 | 48643679.1384
 CANADA                    |   1995 | 50637883.9251
 CANADA                    |   1994 | 49541938.4976
 CANADA                    |   1993 | 50981339.2842
 CANADA                    |   1992 | 43356923.7590
 CHINA                     |   1998 | 34719392.6527
 CHINA                     |   1997 | 47201553.6177
 CHINA                     |   1996 | 47984432.3561
 CHINA                     |   1995 | 46387858.5805
 CHINA                     |   1994 | 47914118.1569
 CHINA                     |   1993 | 45528379.2723
 CHINA                     |   1992 | 39838354.8766
 EGYPT                     |   1998 | 38972952.0901
 EGYPT                     |   1997 | 51284498.2917
 EGYPT                     |   1996 | 51037396.1707
 EGYPT                     |   1995 | 50564764.7217
 EGYPT                     |   1994 | 52784622.0988
 EGYPT                     |   1993 | 52352870.2053
 EGYPT                     |   1992 | 41619733.1134
 ETHIOPIA                  |   1998 | 34072488.4435
 ETHIOPIA                  |   1997 | 47836070.1578
 ETHIOPIA                  |   1996 | 43016970.8244
 ETHIOPIA                  |   1995 | 47964214.0867
 ETHIOPIA                  |   1994 | 44127253.9822
 ETHIOPIA                  |   1993 | 46401359.5431
 ETHIOPIA                  |   1992 | 39440570.9054
 FRANCE                    |   1998 | 33705010.0358
 FRANCE                    |   1997 | 48409596.7464
 FRANCE                    |   1996 | 44981734.0980
 FRANCE                    |   1995 | 45553120.8052
 FRANCE                    |   1994 | 46328664.2508
 FRANCE                    |   1993 | 45430934.4714
 FRANCE                    |   1992 | 39697833.1534
 GERMANY                   |   1998 | 34176274.0501
 GERMANY                   |   1997 | 46687066.9477
 GERMANY                   |   1996 | 45036817.9140
 GERMANY                   |   1995 | 44823594.9112
 GERMANY                   |   1994 | 44872258.7957
 GERMANY                   |   1993 | 46854199.0342
 GERMANY                   |   1992 | 38968367.5047
 INDIA                     |   1998 | 36167601.2659
 INDIA                     |   1997 | 49355296.3484
 INDIA                     |   1996 | 50981087.3818
 INDIA                     |   1995 | 47149781.8569
 INDIA                     |   1994 | 48068642.7866
 INDIA                     |   1993 | 46929812.1362
 INDIA                     |   1992 | 38593567.7495
 INDONESIA                 |   1998 | 37997043.7715
 INDONESIA                 |   1997 | 48845998.9711
 INDONESIA                 |   1996 | 50151713.3487
 INDONESIA                 |   1995 | 50963936.9252
 INDONESIA                 |   1994 | 50988251.3152
 INDONESIA                 |   1993 | 49751555.7196
 INDONESIA                 |   1992 | 41489223.2435
 IRAN                      |   1998 | 37120714.5488
 IRAN                      |   1997 | 48399118.7027
 IRAN                      |   1996 | 50699165.7241
 IRAN                      |   1995 | 48554423.7036
 IRAN                      |   1994 | 49602211.6277
 IRAN                      |   1993 | 50015200.9677
 IRAN                      |   1992 | 40588232.4298
 IRAQ                      |   1998 | 38916360.9175
 IRAQ                      |   1997 | 50079247.0362
 IRAQ                      |   1996 | 51020821.1149
 IRAQ                      |   1995 | 50814671.1694
 IRAQ                      |   1994 | 50662862.5275
 IRAQ                      |   1993 | 48751986.6941
 IRAQ                      |   1992 | 39742888.9322
 JAPAN                     |   1998 | 34060154.7174
 JAPAN                     |   1997 | 44696389.8873
 JAPAN                     |   1996 | 45374157.7917
 JAPAN                     |   1995 | 43288515.7072
 JAPAN                     |   1994 | 45912164.2617
 JAPAN                     |   1993 | 42690351.1660
 JAPAN                     |   1992 | 37183164.9692
 JORDAN                    |   1998 | 31085455.7756
 JORDAN                    |   1997 | 43346321.6704
 JORDAN                    |   1996 | 42355023.8634
 JORDAN                    |   1995 | 41187282.9694
 JORDAN                    |   1994 | 44010512.3138
 JORDAN                    |   1993 | 43859270.7522
 JORDAN                    |   1992 | 36718291.5905
 KENYA                     |   1998 | 32225302.8078
 KENYA                     |   1997 | 42199627.2438
 KENYA                     |   1996 | 44126067.8982
 KENYA                     |   1995 | 43364814.0767
 KENYA                     |   1994 | 44224777.0344
 KENYA                     |   1993 | 40607221.3832
 KENYA                     |   1992 | 36695119.5818
 MOROCCO                   |   1998 | 35409276.7789
 MOROCCO                   |   1997 | 46229889.2307
 MOROCCO                   |   1996 | 44711739.9718
 MOROCCO                   |   1995 | 45934398.8336
 MOROCCO                   |   1994 | 44166399.4958
 MOROCCO                   |   1993 | 45865685.3043
 MOROCCO                   |   1992 | 37430110.1703
 MOZAMBIQUE                |   1998 | 35542205.9548
 MOZAMBIQUE                |   1997 | 48552164.6261
 MOZAMBIQUE                |   1996 | 47893832.9415
 MOZAMBIQUE                |   1995 | 47422957.3947
 MOZAMBIQUE                |   1994 | 45438875.9006
 MOZAMBIQUE                |   1993 | 47752028.9431
 MOZAMBIQUE                |   1992 | 38778151.2470
 PERU                      |   1998 | 34837301.6634
 PERU                      |   1997 | 47584418.8895
 PERU                      |   1996 | 48323242.9837
 PERU                      |   1995 | 48323804.7337
 PERU                      |   1994 | 46548019.4211
 PERU                      |   1993 | 48064259.0210
 PERU                      |   1992 | 40270358.3652
 ROMANIA                   |   1998 | 35004931.0048
 ROMANIA                   |   1997 | 46389863.5065
 ROMANIA                   |   1996 | 45330436.2033
 ROMANIA                   |   1995 | 45791053.7508
 ROMANIA                   |   1994 | 45776050.3153
 ROMANIA                   |   1993 | 46888762.0200
 ROMANIA                   |   1992 | 37868993.4261
 RUSSIA                    |   1998 | 36700313.7496
